amfi_code,Sortino Ratio,Rank
148567,1.490738952294708,1.0
120843,1.4795034584167766,2.0
148569,1.3528150221233652,3.0
119551,1.2914833497690066,4.0
120505,1.2858427838168305,5.0
149323,1.167793379907482,6.0
100033,1.1442164603950202,7.0
118632,1.0988795112458636,8.0
119598,1.0672557743438265,9.0
120504,1.0639638792991957,10.0
101206,1.0639085968011799,11.0
119094,1.0552844773147763,12.0
149324,1.0309617308730288,13.0
148568,0.955767194381326,14.0
119552,0.9265632920561693,15.0
102885,0.7729719235511073,16.0
125497,0.734797599748163,17.0
120503,0.7329158023031636,18.0
118633,0.5886328565297931,19.0
120506,0.5781364061026485,20.0
102887,0.571857543023029,21.0
118635,0.5694261625753934,22.0
118634,0.41130360047665027,23.0
120841,0.3766193408262903,24.0
149322,0.33295209417121097,25.0
125498,0.19294712720125923,26.0
101207,0.07566830445152811,27.0
119093,-0.06789981210009612,28.0
120842,-0.08069596764131792,29.0
119092,-0.18918833169513888,30.0
119599,-0.19003542050379565,31.0
119095,-0.21634600934828307,32.0
102886,-0.4205889785291457,33.0
100016,-0.4728224084369747,34.0
119120,-1.045909778283203,35.0
118636,-1.2383022198784408,36.0
100025,-1.4612200367895027,37.0
120507,-7.208233748898268,38.0
120844,-7.768003070332341,39.0
101208,-8.741654278994412,40.0
